"Code","ICD9_ICD10","String","PheCode","Disease"
"J45.30","ICD10","Mild persistent asthma, uncomplicated",495,"Asthma"
"J45.31","ICD10","Mild persistent asthma with (acute) exacerbation",495.2,"Asthma"
"J45.32","ICD10","Mild persistent asthma with status asthmaticus",495.2,"Asthma"
"J45.40","ICD10","Moderate persistent asthma, uncomplicated",495,"Asthma"
"J45.41","ICD10","Moderate persistent asthma with (acute) exacerbation",495.2,"Asthma"
"J45.42","ICD10","Moderate persistent asthma with status asthmaticus",495.2,"Asthma"
"J45.50","ICD10","Severe persistent asthma, uncomplicated",495,"Asthma"
"J45.51","ICD10","Severe persistent asthma with (acute) exacerbation",495.2,"Asthma"
"J45.52","ICD10","Severe persistent asthma with status asthmaticus",495.2,"Asthma"
"J45.90","ICD10","Unspecified asthma",495,"Asthma"
"J45.901","ICD10","Unspecified asthma with (acute) exacerbation",495.2,"Asthma"
"J45.902","ICD10","Unspecified asthma with status asthmaticus",495.2,"Asthma"
"J45.909","ICD10","Unspecified asthma, uncomplicated",495,"Asthma"
"J45.990","ICD10","Exercise induced bronchospasm",495.2,"Asthma"
"J45.991","ICD10","Cough variant asthma",495,"Asthma"
"J45.998","ICD10","Other asthma",495,"Asthma"
"411.81","ICD9","Acute coronary occlusion without myocardial infarction",411.4,"Coronary Artery Disease"
"414","ICD9","Coronary atherosclerosis",411.4,"Coronary Artery Disease"
"414","ICD9","Coronary atherosclerosis of unspecified type of vessel, native or graft",411.4,"Coronary Artery Disease"
"414.01","ICD9","Coronary atherosclerosis of native coronary artery",411.4,"Coronary Artery Disease"
"414.02","ICD9","Coronary atherosclerosis of autologous biological bypass graft",411.4,"Coronary Artery Disease"
"414.03","ICD9","Coronary atherosclerosis of nonautologous biological bypass graft",411.4,"Coronary Artery Disease"
"414.04","ICD9","Coronary atherosclerosis of artery bypass graft",411.4,"Coronary Artery Disease"
"414.05","ICD9","Coronary atherosclerosis of unspecified type of bypass graft",411.4,"Coronary Artery Disease"
"414.2","ICD9","Chronic total occlusion of coronary artery",411.4,"Coronary Artery Disease"
"414.3","ICD9","Coronary atherosclerosis due to lipid rich plaque",411.4,"Coronary Artery Disease"
"414.4","ICD9","Coronary atherosclerosis due to calcified coronary lesion",411.4,"Coronary Artery Disease"
"410","ICD9","Acute myocardial infarction",411.2,"Coronary Artery Disease"
"410","ICD9","Acute myocardial infarction, of anterolateral wall",411.2,"Coronary Artery Disease"
"410","ICD9","Acute myocardial infarction, of anterolateral wall, episode of care unspecified",411.2,"Coronary Artery Disease"
"410.01","ICD9","Acute myocardial infarction, of anterolateral wall, initial episode of care",411.2,"Coronary Artery Disease"
"410.02","ICD9","Acute myocardial infarction, of anterolateral wall, subsequent episode of care",411.2,"Coronary Artery Disease"
"410.1","ICD9","Acute myocardial infarction, of other anterior wall",411.2,"Coronary Artery Disease"
"410.1","ICD9","Acute myocardial infarction, of other anterior wall, episode of care unspecified",411.2,"Coronary Artery Disease"
"410.11","ICD9","Acute myocardial infarction, of other anterior wall, initial episode of care",411.2,"Coronary Artery Disease"
"410.12","ICD9","Acute myocardial infarction, of other anterior wall, subsequent episode of care",411.2,"Coronary Artery Disease"
"410.2","ICD9","Acute myocardial infarction, of inferolateral wall",411.2,"Coronary Artery Disease"
"410.2","ICD9","Acute myocardial infarction, of inferolateral wall, episode of care unspecified",411.2,"Coronary Artery Disease"
"410.21","ICD9","Acute myocardial infarction, of inferolateral wall, initial episode of care",411.2,"Coronary Artery Disease"
"410.22","ICD9","Acute myocardial infarction, of inferolateral wall, subsequent episode of care",411.2,"Coronary Artery Disease"
"410.3","ICD9","Acute myocardial infarction, of inferoposterior wall",411.2,"Coronary Artery Disease"
"410.3","ICD9","Acute myocardial infarction, of inferoposterior wall, episode of care unspecified",411.2,"Coronary Artery Disease"
"410.31","ICD9","Acute myocardial infarction, of inferoposterior wall, initial episode of care",411.2,"Coronary Artery Disease"
"410.32","ICD9","Acute myocardial infarction, of inferoposterior wall, subsequent episode of care",411.2,"Coronary Artery Disease"
"410.4","ICD9","Acute myocardial infarction, of other inferior wall",411.2,"Coronary Artery Disease"
"410.4","ICD9","Acute myocardial infarction, of other inferior wall, episode of care unspecified",411.2,"Coronary Artery Disease"
"410.41","ICD9","Acute myocardial infarction, of other inferior wall, initial episode of care",411.2,"Coronary Artery Disease"
"410.42","ICD9","Acute myocardial infarction, of other inferior wall, subsequent episode of care",411.2,"Coronary Artery Disease"
"410.5","ICD9","Acute myocardial infarction, of other lateral wall",411.2,"Coronary Artery Disease"
"410.5","ICD9","Acute myocardial infarction, of other lateral wall, episode of care unspecified",411.2,"Coronary Artery Disease"
"410.51","ICD9","Acute myocardial infarction, of other lateral wall, initial episode of care",411.2,"Coronary Artery Disease"
"410.52","ICD9","Acute myocardial infarction, of other lateral wall, subsequent episode of care",411.2,"Coronary Artery Disease"
"410.6","ICD9","Acute myocardial infarction, true posterior wall infarction",411.2,"Coronary Artery Disease"
"410.6","ICD9","Acute myocardial infarction, true posterior wall infarction, episode of care unspecified",411.2,"Coronary Artery Disease"
"410.61","ICD9","Acute myocardial infarction, true posterior wall infarction, initial episode of care",411.2,"Coronary Artery Disease"
"410.62","ICD9","Acute myocardial infarction, true posterior wall infarction, subsequent episode of care",411.2,"Coronary Artery Disease"
"410.7","ICD9","Acute myocardial infarction, subendocardial infarction",411.2,"Coronary Artery Disease"
"410.7","ICD9","Acute myocardial infarction, subendocardial infarction, episode of care unspecified",411.2,"Coronary Artery Disease"
"410.71","ICD9","Acute myocardial infarction, subendocardial infarction, initial episode of care",411.2,"Coronary Artery Disease"
"410.72","ICD9","Acute myocardial infarction, subendocardial infarction, subsequent episode of care",411.2,"Coronary Artery Disease"
"410.8","ICD9","Acute myocardial infarction, of other specified sites",411.2,"Coronary Artery Disease"
"410.8","ICD9","Acute myocardial infarction, of other specified sites, episode of care unspecified",411.2,"Coronary Artery Disease"
"410.81","ICD9","Acute myocardial infarction, of other specified sites, initial episode of care",411.2,"Coronary Artery Disease"
"410.82","ICD9","Acute myocardial infarction, of other specified sites, subsequent episode of care",411.2,"Coronary Artery Disease"
"410.9","ICD9","Acute myocardial infarction, unspecified site",411.2,"Coronary Artery Disease"
"410.9","ICD9","Acute myocardial infarction, unspecified site, episode of care unspecified",411.2,"Coronary Artery Disease"
"410.91","ICD9","Acute myocardial infarction, unspecified site, initial episode of care",411.2,"Coronary Artery Disease"
"410.92","ICD9","Acute myocardial infarction, unspecified site, subsequent episode of care",411.2,"Coronary Artery Disease"
"411","ICD9","Postmyocardial infarction syndrome",411.2,"Coronary Artery Disease"
"412","ICD9","Old myocardial infarction",411.2,"Coronary Artery Disease"
"429.7","ICD9","Certain sequelae of myocardial infarction, not elsewhere classified",411.2,"Coronary Artery Disease"
"429.71","ICD9","Cardiac septal defect, sequela of myocardial infarction",411.2,"Coronary Artery Disease"
"429.79","ICD9","Other sequelae of myocardial infarction, not elsewhere classified",411.2,"Coronary Artery Disease"
"I24.0","ICD10","Acute coronary thrombosis not resulting in myocardial infarction",411.4,"Coronary Artery Disease"
"I25.1","ICD10","Atherosclerotic heart disease of native coronary artery",411.4,"Coronary Artery Disease"
"I25.10","ICD10","Atherosclerotic heart disease of native coronary artery without angina pectoris",411.4,"Coronary Artery Disease"
"I25.110","ICD10","Atherosclerotic heart disease of native coronary artery with unstable angina pectoris",411.4,"Coronary Artery Disease"
"I25.111","ICD10","Atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm",411.4,"Coronary Artery Disease"
"I25.118","ICD10","Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris",411.4,"Coronary Artery Disease"
"I25.119","ICD10","Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris",411.4,"Coronary Artery Disease"
"I25.700","ICD10","Atherosclerosis of coronary artery bypass graft(s), unspecified, with unstable angina pectoris",411.4,"Coronary Artery Disease"
"I25.701","ICD10","Atherosclerosis of coronary artery bypass graft(s), unspecified, with angina pectoris with documented spasm",411.4,"Coronary Artery Disease"
"I25.708","ICD10","Atherosclerosis of coronary artery bypass graft(s), unspecified, with other forms of angina pectoris",411.4,"Coronary Artery Disease"
"I25.709","ICD10","Atherosclerosis of coronary artery bypass graft(s), unspecified, with unspecified angina pectoris",411.4,"Coronary Artery Disease"
"I25.710","ICD10","Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris",411.4,"Coronary Artery Disease"
"I25.711","ICD10","Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris with documented spasm",411.4,"Coronary Artery Disease"
"I25.718","ICD10","Atherosclerosis of autologous vein coronary artery bypass graft(s) with other forms of angina pectoris",411.4,"Coronary Artery Disease"
"I25.719","ICD10","Atherosclerosis of autologous vein coronary artery bypass graft(s) with unspecified angina pectoris",411.4,"Coronary Artery Disease"
"I25.720","ICD10","Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris",411.4,"Coronary Artery Disease"
"I25.721","ICD10","Athscl autologous artery CABG w ang pctrs w documented spasm",411.4,"Coronary Artery Disease"
"I25.728","ICD10","Atherosclerosis of autologous artery coronary artery bypass graft(s) with other forms of angina pectoris",411.4,"Coronary Artery Disease"
"I25.729","ICD10","Atherosclerosis of autologous artery coronary artery bypass graft(s) with unspecified angina pectoris",411.4,"Coronary Artery Disease"
"I25.730","ICD10","Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unstable angina pectoris",411.4,"Coronary Artery Disease"
"I25.731","ICD10","Athscl nonaut biological CABG w ang pctrs w documented spasm",411.4,"Coronary Artery Disease"
"I25.738","ICD10","Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with other forms of angina pectoris",411.4,"Coronary Artery Disease"
"I25.739","ICD10","Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unspecified angina pectoris",411.4,"Coronary Artery Disease"
"I25.790","ICD10","Atherosclerosis of other coronary artery bypass graft(s) with unstable angina pectoris",411.4,"Coronary Artery Disease"
"I25.791","ICD10","Atherosclerosis of other coronary artery bypass graft(s) with angina pectoris with documented spasm",411.4,"Coronary Artery Disease"
"I25.798","ICD10","Atherosclerosis of other coronary artery bypass graft(s) with other forms of angina pectoris",411.4,"Coronary Artery Disease"
"I25.799","ICD10","Atherosclerosis of other coronary artery bypass graft(s) with unspecified angina pectoris",411.4,"Coronary Artery Disease"
"I25.810","ICD10","Atherosclerosis of coronary artery bypass graft(s) without angina pectoris",411.4,"Coronary Artery Disease"
"I25.82","ICD10","Chronic total occlusion of coronary artery",411.4,"Coronary Artery Disease"
"I25.83","ICD10","Coronary atherosclerosis due to lipid rich plaque",411.4,"Coronary Artery Disease"
"I25.84","ICD10","Coronary atherosclerosis due to calcified coronary lesion",411.4,"Coronary Artery Disease"
"I21","ICD10","Acute myocardial infarction",411.2,"Coronary Artery Disease"
"I23.1","ICD10","Atrial septal defect as current complication following acute myocardial infarction",411.2,"Coronary Artery Disease"
"I51.0","ICD10","Cardiac septal defect, acquired",411.2,"Coronary Artery Disease"
"I24.1","ICD10","Dressler's syndrome",411.2,"Coronary Artery Disease"
"I23.0","ICD10","Hemopericardium as current complication following acute myocardial infarction",411.2,"Coronary Artery Disease"
"I51.3","ICD10","Intracardiac thrombosis, not elsewhere classified",411.2,"Coronary Artery Disease"
"I21.9","ICD10","Myocardial infarction (acute) NOS",411.2,"Coronary Artery Disease"
"I21.A1","ICD10","Myocardial infarction type 2",411.2,"Coronary Artery Disease"
"I21.4","ICD10","Non-ST elevation (NSTEMI) myocardial infarction",411.2,"Coronary Artery Disease"
"I25.2","ICD10","Old myocardial infarction",411.2,"Coronary Artery Disease"
"I23.8","ICD10","Other current complications following acute myocardial infarction",411.2,"Coronary Artery Disease"
"I21.A9","ICD10","Other myocardial infarction type",411.2,"Coronary Artery Disease"
"I21.A","ICD10","Other type of myocardial infarction",411.2,"Coronary Artery Disease"
"I23.7","ICD10","Postinfarction angina",411.2,"Coronary Artery Disease"
"I23.3","ICD10","Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction",411.2,"Coronary Artery Disease"
"I21.02","ICD10","ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery",411.2,"Coronary Artery Disease"
"I21.21","ICD10","ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery",411.2,"Coronary Artery Disease"
"I21.01","ICD10","ST elevation (STEMI) myocardial infarction involving left main coronary artery",411.2,"Coronary Artery Disease"
"I21.09","ICD10","ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall",411.2,"Coronary Artery Disease"
"I21.19","ICD10","ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall",411.2,"Coronary Artery Disease"
"I21.29","ICD10","ST elevation (STEMI) myocardial infarction involving other sites",411.2,"Coronary Artery Disease"
"I21.11","ICD10","ST elevation (STEMI) myocardial infarction involving right coronary artery",411.2,"Coronary Artery Disease"
"I21.0","ICD10","ST elevation (STEMI) myocardial infarction of anterior wall",411.2,"Coronary Artery Disease"
"I21.1","ICD10","ST elevation (STEMI) myocardial infarction of inferior wall",411.2,"Coronary Artery Disease"
"I21.2","ICD10","ST elevation (STEMI) myocardial infarction of other sites",411.2,"Coronary Artery Disease"
"I21.3","ICD10","ST elevation (STEMI) myocardial infarction of unspecified site",411.2,"Coronary Artery Disease"
"I22.2","ICD10","Subsequent non-ST elevation (NSTEMI) myocardial infarction",411.2,"Coronary Artery Disease"
"I22","ICD10","Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction",411.2,"Coronary Artery Disease"
"I22.0","ICD10","Subsequent ST elevation (STEMI) myocardial infarction of anterior wall",411.2,"Coronary Artery Disease"
"I22.1","ICD10","Subsequent ST elevation (STEMI) myocardial infarction of inferior wall",411.2,"Coronary Artery Disease"
"I22.8","ICD10","Subsequent ST elevation (STEMI) myocardial infarction of other sites",411.2,"Coronary Artery Disease"
"I22.9","ICD10","Subsequent ST elevation (STEMI) myocardial infarction of unspecified site",411.2,"Coronary Artery Disease"
"I23.6","ICD10","Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",411.2,"Coronary Artery Disease"
"I23.2","ICD10","Ventricular septal defect as current complication following acute myocardial infarction",411.2,"Coronary Artery Disease"
"140","ICD9","Malignant neoplasm of lip",145.1,"Cancer"
"140","ICD9","Malignant neoplasm of upper lip, vermilion border",145.1,"Cancer"
"140.1","ICD9","Malignant neoplasm of lower lip, vermilion border",145.1,"Cancer"
"140.30000000000001","ICD9","Malignant neoplasm of upper lip, inner aspect",145.1,"Cancer"
"140.4","ICD9","Malignant neoplasm of lower lip, inner aspect",145.1,"Cancer"
"140.5","ICD9","Malignant neoplasm of lip, unspecified, inner aspect",145.1,"Cancer"
"140.6","ICD9","Malignant neoplasm of commissure of lip",145.1,"Cancer"
"140.80000000000001","ICD9","Malignant neoplasm of other sites of lip",145.1,"Cancer"
"140.9","ICD9","Malignant neoplasm of lip, unspecified, vermilion border",145.1,"Cancer"
"141","ICD9","Malignant neoplasm of tongue",145.2,"Cancer"
"141","ICD9","Malignant neoplasm of base of tongue",145.2,"Cancer"
"141.1","ICD9","Malignant neoplasm of dorsal surface of tongue",145.2,"Cancer"
"141.19999999999999","ICD9","Malignant neoplasm of tip and lateral border of tongue",145.2,"Cancer"
"141.30000000000001","ICD9","Malignant neoplasm of ventral surface of tongue",145.2,"Cancer"
"141.4","ICD9","Malignant neoplasm of anterior two-thirds of tongue, part unspecified",145.2,"Cancer"
"141.5","ICD9","Malignant neoplasm of junctional zone of tongue",145.2,"Cancer"
"141.6","ICD9","Malignant neoplasm of lingual tonsil",145.2,"Cancer"
"141.80000000000001","ICD9","Malignant neoplasm of other sites of tongue",145.2,"Cancer"
"141.9","ICD9","Malignant neoplasm of tongue, unspecified",145.2,"Cancer"
"142","ICD9","Malignant neoplasm of major salivary glands",145.3,"Cancer"
"142","ICD9","Malignant neoplasm of parotid gland",145.3,"Cancer"
"142.1","ICD9","Malignant neoplasm of submandibular gland",145.3,"Cancer"
"142.19999999999999","ICD9","Malignant neoplasm of sublingual gland",145.3,"Cancer"
"142.80000000000001","ICD9","Malignant neoplasm of other major salivary glands",145.3,"Cancer"
"142.9","ICD9","Malignant neoplasm of salivary gland, unspecified",145.3,"Cancer"
"143","ICD9","Malignant neoplasm of gum",145.4,"Cancer"
"143","ICD9","Malignant neoplasm of upper gum",145.4,"Cancer"
"143.1","ICD9","Malignant neoplasm of lower gum",145.4,"Cancer"
"143.80000000000001","ICD9","Malignant neoplasm of other sites of gum",145.4,"Cancer"
"143.9","ICD9","Malignant neoplasm of gum, unspecified",145.4,"Cancer"
"144","ICD9","Malignant neoplasm of floor of mouth",145.5,"Cancer"
"144","ICD9","Malignant neoplasm of anterior portion of floor of mouth",145.5,"Cancer"
"144.1","ICD9","Malignant neoplasm of lateral portion of floor of mouth",145.5,"Cancer"
"144.80000000000001","ICD9","Malignant neoplasm of other sites of floor of mouth",145.5,"Cancer"
"144.9","ICD9","Malignant neoplasm of floor of mouth, part unspecified",145.5,"Cancer"
"145","ICD9","Malignant neoplasm of other and unspecified parts of mouth",145,"Cancer"
"145","ICD9","Malignant neoplasm of cheek mucosa",145,"Cancer"
"145.1","ICD9","Malignant neoplasm of vestibule of mouth",145,"Cancer"
"145.19999999999999","ICD9","Malignant neoplasm of hard palate",145,"Cancer"
"145.30000000000001","ICD9","Malignant neoplasm of soft palate",145,"Cancer"
"145.4","ICD9","Malignant neoplasm of uvula",145,"Cancer"
"145.5","ICD9","Malignant neoplasm of palate, unspecified",145,"Cancer"
"145.6","ICD9","Malignant neoplasm of retromolar area",145,"Cancer"
"145.80000000000001","ICD9","Malignant neoplasm of other specified parts of mouth",145,"Cancer"
"145.9","ICD9","Malignant neoplasm of mouth, unspecified",145,"Cancer"
"146","ICD9","Malignant neoplasm of oropharynx",149.1,"Cancer"
"146","ICD9","Malignant neoplasm of tonsil",149.1,"Cancer"
"146.1","ICD9","Malignant neoplasm of tonsillar fossa",149.1,"Cancer"
"146.19999999999999","ICD9","Malignant neoplasm of tonsillar pillars (anterior) (posterior)",149.1,"Cancer"
"146.30000000000001","ICD9","Malignant neoplasm of vallecula",149.1,"Cancer"
"146.4","ICD9","Malignant neoplasm of anterior aspect of epiglottis",149.1,"Cancer"
"146.5","ICD9","Malignant neoplasm of junctional region of oropharynx",149.1,"Cancer"
"146.6","ICD9","Malignant neoplasm of lateral wall of oropharynx",149.1,"Cancer"
"146.69999999999999","ICD9","Malignant neoplasm of posterior wall of oropharynx",149.1,"Cancer"
"146.80000000000001","ICD9","Malignant neoplasm of other specified sites of oropharynx",149.1,"Cancer"
"146.9","ICD9","Malignant neoplasm of oropharynx, unspecified",149.1,"Cancer"
"147","ICD9","Malignant neoplasm of nasopharynx",149.2,"Cancer"
"147","ICD9","Malignant neoplasm of superior wall of nasopharynx",149.2,"Cancer"
"147.1","ICD9","Malignant neoplasm of posterior wall of nasopharynx",149.2,"Cancer"
"147.19999999999999","ICD9","Malignant neoplasm of lateral wall of nasopharynx",149.2,"Cancer"
"147.30000000000001","ICD9","Malignant neoplasm of anterior wall of nasopharynx",149.2,"Cancer"
"147.80000000000001","ICD9","Malignant neoplasm of other specified sites of nasopharynx",149.2,"Cancer"
"147.9","ICD9","Malignant neoplasm of nasopharynx, unspecified",149.2,"Cancer"
"148","ICD9","Malignant neoplasm of hypopharynx",149.3,"Cancer"
"148","ICD9","Malignant neoplasm of postcricoid region of hypopharynx",149.3,"Cancer"
"148.1","ICD9","Malignant neoplasm of pyriform sinus",149.3,"Cancer"
"148.19999999999999","ICD9","Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",149.3,"Cancer"
"148.30000000000001","ICD9","Malignant neoplasm of posterior hypopharyngeal wall",149.3,"Cancer"
"148.80000000000001","ICD9","Malignant neoplasm of other specified sites of hypopharynx",149.3,"Cancer"
"148.9","ICD9","Malignant neoplasm of hypopharynx, unspecified",149.3,"Cancer"
"149","ICD9","Malignant neoplasm of other and ill-defined sites within the lip, oral cavity, and pharynx",149,"Cancer"
"149","ICD9","Malignant neoplasm of pharynx, unspecified",149,"Cancer"
"149.1","ICD9","Malignant neoplasm of waldeyer's ring",149,"Cancer"
"149.80000000000001","ICD9","Malignant neoplasm of other sites within the lip and oral cavity",149,"Cancer"
"149.9","ICD9","Malignant neoplasm of ill-defined sites within the lip and oral cavity",149,"Cancer"
"150","ICD9","Malignant neoplasm of esophagus",150,"Cancer"
"150","ICD9","Malignant neoplasm of cervical esophagus",150,"Cancer"
"150.1","ICD9","Malignant neoplasm of thoracic esophagus",150,"Cancer"
"150.19999999999999","ICD9","Malignant neoplasm of abdominal esophagus",150,"Cancer"
"150.30000000000001","ICD9","Malignant neoplasm of upper third of esophagus",150,"Cancer"
"150.4","ICD9","Malignant neoplasm of middle third of esophagus",150,"Cancer"
"150.5","ICD9","Malignant neoplasm of lower third of esophagus",150,"Cancer"
"150.80000000000001","ICD9","Malignant neoplasm of other specified part of esophagus",150,"Cancer"
"150.9","ICD9","Malignant neoplasm of esophagus, unspecified",150,"Cancer"
"151","ICD9","Malignant neoplasm of stomach",151,"Cancer"
"151","ICD9","Malignant neoplasm of cardia",151,"Cancer"
"151.1","ICD9","Malignant neoplasm of pylorus",151,"Cancer"
"151.19999999999999","ICD9","Malignant neoplasm of pyloric antrum",151,"Cancer"
"151.30000000000001","ICD9","Malignant neoplasm of fundus of stomach",151,"Cancer"
"151.4","ICD9","Malignant neoplasm of body of stomach",151,"Cancer"
"151.5","ICD9","Malignant neoplasm of lesser curvature of stomach, unspecified",151,"Cancer"
"151.6","ICD9","Malignant neoplasm of greater curvature of stomach, unspecified",151,"Cancer"
"151.80000000000001","ICD9","Malignant neoplasm of other specified sites of stomach",151,"Cancer"
"151.9","ICD9","Malignant neoplasm of stomach, unspecified",151,"Cancer"
"153","ICD9","Malignant neoplasm of colon",153.2,"Cancer"
"153","ICD9","Malignant neoplasm of hepatic flexure",153.2,"Cancer"
"153.1","ICD9","Malignant neoplasm of transverse colon",153.2,"Cancer"
"153.19999999999999","ICD9","Malignant neoplasm of descending colon",153.2,"Cancer"
"153.30000000000001","ICD9","Malignant neoplasm of sigmoid colon",153.2,"Cancer"
"153.4","ICD9","Malignant neoplasm of cecum",153.2,"Cancer"
"153.5","ICD9","Malignant neoplasm of appendix vermiformis",153.2,"Cancer"
"153.6","ICD9","Malignant neoplasm of ascending colon",153.2,"Cancer"
"153.69999999999999","ICD9","Malignant neoplasm of splenic flexure",153.2,"Cancer"
"153.80000000000001","ICD9","Malignant neoplasm of other specified sites of large intestine",153.2,"Cancer"
"153.9","ICD9","Malignant neoplasm of colon, unspecified",153.2,"Cancer"
"154.80000000000001","ICD9","Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus",153,"Cancer"
"155","ICD9","Malignant neoplasm of liver and intrahepatic bile ducts",155,"Cancer"
"155.1","ICD9","Malignant neoplasm of intrahepatic bile ducts",155,"Cancer"
"155.19999999999999","ICD9","Malignant neoplasm of liver, not specified as primary or secondary",155,"Cancer"
"157","ICD9","Malignant neoplasm of pancreas",157,"Cancer"
"157","ICD9","Malignant neoplasm of head of pancreas",157,"Cancer"
"157.1","ICD9","Malignant neoplasm of body of pancreas",157,"Cancer"
"157.19999999999999","ICD9","Malignant neoplasm of tail of pancreas",157,"Cancer"
"157.30000000000001","ICD9","Malignant neoplasm of pancreatic duct",157,"Cancer"
"157.4","ICD9","Malignant neoplasm of islets of Langerhans",157,"Cancer"
"157.80000000000001","ICD9","Malignant neoplasm of other specified sites of pancreas",157,"Cancer"
"157.9","ICD9","Malignant neoplasm of pancreas, part unspecified",157,"Cancer"
"159","ICD9","Malignant neoplasm of intestinal tract, part unspecified",153.2,"Cancer"
"160","ICD9","Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses",149.9,"Cancer"
"160","ICD9","Malignant neoplasm of nasal cavities",149.9,"Cancer"
"160.1","ICD9","Malignant neoplasm of auditory tube, middle ear, and mastoid air cells",149.9,"Cancer"
"160.19999999999999","ICD9","Malignant neoplasm of maxillary sinus",149.9,"Cancer"
"160.30000000000001","ICD9","Malignant neoplasm of ethmoidal sinus",149.9,"Cancer"
"160.4","ICD9","Malignant neoplasm of frontal sinus",149.9,"Cancer"
"160.5","ICD9","Malignant neoplasm of sphenoidal sinus",149.9,"Cancer"
"160.80000000000001","ICD9","Malignant neoplasm of other accessory sinuses",149.9,"Cancer"
"160.9","ICD9","Malignant neoplasm of accessory sinus, unspecified",149.9,"Cancer"
"161","ICD9","Malignant neoplasm of larynx",149.4,"Cancer"
"161","ICD9","Malignant neoplasm of glottis",149.4,"Cancer"
"161.1","ICD9","Malignant neoplasm of supraglottis",149.4,"Cancer"
"161.19999999999999","ICD9","Malignant neoplasm of subglottis",149.4,"Cancer"
"161.30000000000001","ICD9","Malignant neoplasm of laryngeal cartilages",149.4,"Cancer"
"161.80000000000001","ICD9","Malignant neoplasm of other specified sites of larynx",149.4,"Cancer"
"161.9","ICD9","Malignant neoplasm of larynx, unspecified",149.4,"Cancer"
